日期,主题,标的,方向,原文定位,关键催化,参考材料,当前位置判断,交易表达,风险点,交易提示,下次复盘日期,备注
2026-06-17,DeepSeek潜在限制清单风险,DeepSeek/CXMT/中国AI链,AI监管/出口管制/地缘风险,"Reuters截图称美国考虑将DeepSeek及其他100多家中国公司列入黑名单，理由涉及国家安全风险","实体清单；DeepSeek；CXMT；AI模型；先进芯片；数据安全","BIS正式清单；Reuters全文；美国商务部公告；公司回应；云平台合作进展","截图线索待核验，若落地将影响国产AI国际化和风险偏好",趋势破位走；止盈止损,"传闻失真；限制范围不明；海外合作受阻；市场风险偏好下降",条件式退出或利润保护,2026-07-15,"新增DeepSeek监管风险，需优先等官方清单"
2026-06-17,商业航天低调预热与发射窗口,商业航天链/朱雀三/福光股份,商业航天/可回收火箭/卫星载荷,"圈内称央视商业航天报道属于低调预热，7月9日朱雀三发射前仍有密集催化窗口，优先关注已选出的高切低标的","央视报道；朱雀三；可回收火箭；低轨星座；卫星载荷；光学元件","蓝箭航天官方；央视；发射许可；公司公告；星座招标；订单；发射结果","事件窗口延续，但发射成功和公司订单需分别验证",趋势破位走；止盈止损,"发射延期或失败；概念股冲高回落；低位标的业绩弱；政策或监管扰动",条件式退出或利润保护,2026-07-15,"承接6月17商业航天复盘，新增央视预热和福光股份低位线索"
2026-06-18,MLCC涨价调研真相,三环集团/风华高科/深圳华强/力源信息/洁美科技/博迁新材/国瓷材料,MLCC/被动元件/分销商,"先知研报称AI服务器拉动高容高温高压MLCC紧缺，但终端提价温和，现货涨幅被囤货和渠道惜售放大","AI服务器；高容高温高压；日韩产能倾斜；现货涨价；国产中低端外溢；陶瓷粉瓶颈","TrendForce；村田/三星电机指引；现货价格；终端提价；公司公告；库存；毛利率；客户认证","高端MLCC需求可部分验证，A股映射已进入分歧和业绩验证阶段",高位多看图；趋势保持留,"渠道炒作；终端涨价有限；国内中低端扩产快；库存跌价；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-07-31,"新建2026-06-18_MLCC硅片涨价与监管降温复盘.md；强调现货价格不等于终端ASP"
2026-06-18,重掺硅片涨价会议,立昂微/沪硅产业/中环/奕斯伟/中欣晶圆,12寸硅片/重掺硅片/功率器件,"会议称AI外围功率器件需求带动重掺12寸硅片供需偏紧，但国内大硅片整体产能并不稀缺","重掺硅片；功率MOSFET；AI电源管理；涨价15%-20%；新增产能释放；客户验证","行业报价；公司公告；客户订单；稼动率；新增产能；重掺收入占比；毛利率","结构性涨价逻辑延续，但不宜线性外推为全行业硅片大周期",提示机会；观察催化,"中低端产能充足；2027年新增产能缓解；涨价幅度低于预期；客户验证慢；高位追涨回撤",提示机会，观察事件催化,2026-08-15,"承接6月13日硅片台账，新增会议细节和2027年供需缓解验证"
2026-06-18,异常波动公告与监管降温,科技主线高位题材/上游涨价/玻璃基板/商业航天,交易风险/监管风险,"同花顺截图称6月17日晚72家A股公司发布异常波动或风险提示公告，圈内认为打击炒作讲话可能对纯叙事题材降温","异常波动公告；风险提示；重点监控；题材降温；去伪存真；机构趋势行情","交易所公告；公司公告；问询函；重点监控名单；成交结构；5日线/10日线；核心股量价","截图为风险线索，需以交易所和公司公告逐一核验",趋势破位走；止盈止损,"纯叙事退潮；监管问询；高位回撤；利好脱敏；趋势破位；误伤基本面标的",条件式退出或利润保护,2026-07-15,"将监管降温纳入交易纪律，不改变有订单业绩支撑方向的中期跟踪"
2026-06-18,科技政策定调与监管缩圈,科技主线/半导体设备材料/光模块/液冷/国产算力,政策定调/交易纪律,"圈内将陆家嘴论坛讲话解读为支持科技融资和严监管并行，认为资金将从纯叙事题材缩圈到订单业绩主线","资本市场支持科技创新；制度包容性；严查蹭热点炒概念；中报业绩验证；机构趋势行情","证监会官网；陆家嘴论坛实录；新华社/主流财经媒体；交易所监管公告；成交结构；核心股趋势","中长期方向仍偏科技，短期题材扩散宽度收缩",趋势破位走；止盈止损,"误读政策；监管进一步升级；高位拥挤踩踏；美股AI调整；业绩不及预期",条件式退出或利润保护,2026-07-15,"新建2026-06-18_科技政策定调监管缩圈液冷测试与零部件复盘.md；政策原文仍需逐项核验"
2026-06-18,异常波动公告风险澄清,中国巨石/山东玻纤/中材科技/兴森科技/沃格光电/凯盛科技/江海股份/国瓷材料/中核科技/通鼎互联,电子布/玻璃基板/电容陶瓷/硅-28/英伟达映射,"圈内称多家公司提示普通布、无相关产品、研发样品、未量产、收入占比低或无业务关联，纯概念炒作降温","异常波动公告；风险提示；无量产订单；收入占比低；无业务关联；蹭热点降温","交易所公告；巨潮资讯；公司公告；投资者关系记录；收入分项；产品验证；客户订单","作为公告核验清单，不直接把转述当作事实",趋势破位走；止盈止损,"公告口径被误读；部分公司后续仍有产业进展；情绪杀跌误伤；高位补跌",条件式退出或利润保护,2026-07-05,"需逐家公司核公告原文，优先区分无产品、无收入、收入占比低和研发未量产"
2026-06-18,鸿富瀚液冷板/Manifold/UQD,鸿富瀚,液冷板/Manifold/UQD/AI服务器液冷,"圈内称公司海外NV、Meta、Amazon等客户进展迅速，国内阿里开始释放批量订单，并从液冷板扩展到manifold和UQD","海外客户突破；国内大客户订单；液冷板；manifold；UQD；利润快速兑现","公司公告；投资者关系记录；客户认证；订单；合同负债；收入分项；海外收入；毛利率；产能","高弹性待验证，若订单兑现可成为液冷利润线核心标的",高位多看图；趋势保持留,"客户未披露；利润测算激进；订单延迟；产能爬坡；高位回撤；海外客户导入失败",趋势未破时跟踪量价,2026-07-31,"承接4月底至5月液冷台账，新增manifold/UQD和海外客户验证"
2026-06-18,后道测试设备新高后再梳理,长川科技/华峰测控/精智达,数字测试机/模拟测试机/存储测试机,"圈内称AI复杂度提升带来测试通胀，长川、华峰、精智达各有优势，新高后重点看订单和关键客户突破","AI测试通胀；存储扩产；高端测试机国产化；数字测试机；存储测试机；模拟测试机","公司公告；定期报告；合同负债；发出商品；客户验证；订单结构；收入分项；毛利率","产业逻辑强，但新高后应从叙事切到业绩验证",高位多看图；趋势保持留,"订单传闻；客户导入慢；估值提前反映；单一客户依赖；趋势破位",趋势未破时跟踪量价,2026-07-31,"长川看平台化，华峰看数字测试突破，精智达看长鑫长存订单确认"
2026-06-18,半导体零部件涨价再强化,富创精密/新莱应材/珂玛科技/京仪装备,半导体设备零部件/陶瓷/阀门/真空泵/温控,"圈内称零部件缺口2026年90亿美元、2028年500亿美元，海外交期拉长和外协涨价推动利润率、海外增量、国产化率三重上升","海外零部件缺产能；长尾外协涨价；设备厂接单传导；出海增量；国产替代加速","公司公告；财报；合同负债；订单；涨价函；海外收入；毛利率；设备厂订单；客户验证","零部件已从设备映射补涨转为瓶颈资产逻辑，但缺口测算待核",高位多看图；趋势保持留,"缺口测算偏乐观；海外订单不及预期；降价竞争；扩产后供给释放；估值提前反映",趋势未破时跟踪量价,2026-07-31,"重点看Q2-Q3签单、毛利率和合同负债是否验证涨价逻辑"
2026-06-18,汇成真空TGV PVD价值量再强化,汇成真空,TGV玻璃通孔/PVD金属化设备/先进封装,"圈内称玻璃基板金属化PVD比激光通孔更具预期差，PVD设备价值量占整线近40%，汇成已向三叠纪交付两条产线设备","TGV金属种子层；PVD；三叠纪产线；云天半导体；BOE；玻璃基板先进封装","公司公告；业绩说明会；客户验收；招投标；订单；收入确认；客户公告；产线投资额","延续6月17台账，新增PVD价值量占比和客户交付验证",高位多看图；趋势保持留,"玻璃基板量产慢；客户未确认；价值量占比口径待核；收入确认滞后；估值提前反映",趋势未破时跟踪量价,2026-07-31,"与2026-06-17玻璃基板TGV PVD设备合并跟踪"
2026-06-18,中旗新材/星空科技资产注入预期,中旗新材/星空科技,先进封装设备/资产注入/光刻机/键合机/纳米压印,"圈内称星空科技由贺荣明团队领衔并获上海国资投资，布局先进封装设备，市场存在注入中旗新材预期","B轮融资；上海国资；广州增城和上海张江扩产；先进封装光刻机；键合机；纳米压印；资产注入预期","上市公司公告；监管问询；工商信息；融资公告；星空科技客户订单；财务数据；并购重组预案","高风险事件线索，无公告前不能映射为上市公司业绩",趋势破位走；止盈止损,"资产注入不确定；一级市场数据不透明；主业关联度低；估值测算激进；监管问询；交易拥挤",条件式退出或利润保护,2026-07-31,"新增资产注入观察项，重点等公告和监管文件"
2026-06-18,光模块测试仪器国产替代再强化,联讯仪器/华兴源创/华盛昌/普源精电/鼎阳科技/优利德,高速示波器/误码仪/光模块测试仪器,"截图提到光模块测试仪器受益800G至1.6T/3.2T升级和进口仪器交期价格压力，国产替代弹性被重新关注","光模块升级；采样示波器；误码仪；高速测试；国产替代；进口交期","公司公告；产品规格；客户认证；订单；收入分项；毛利率；海外龙头价格和交期","承接5月光测试仪器线索，需验证高端性能和客户订单",提示机会；观察催化,"国产性能差距；高端收入占比低；客户认证周期长；需求测算偏大；主题退潮",提示机会，观察事件催化,2026-08-15,"新增华盛昌、优利德观察，需筛选真正具备高速光模块测试能力的公司"
2026-06-18,FOMC与美股AI高位风险,美债/纳指/AI硬件映射链,宏观流动性/海外AI拥挤,"圈内称Q3抱团AI仍是最佳思路，但8-9月后若AI讲不出新叙事或CAPEX降温，纳指存在调整风险并传导A股","6月FOMC；利率中枢；通胀；美股AI抱团；AI CAPEX；纳指虹吸","Federal Reserve声明和SEP；美债收益率；纳指/费半；云厂CAPEX；NVIDIA/AI链财报","6月FOMC偏谨慎可部分验证，AI调整时点仍属策略推演",趋势破位走；止盈止损,"宏观判断过度线性；AI业绩继续超预期；降息预期变化；美股调整传导A股科技",条件式退出或利润保护,2026-07-31,"2026-06-17 FOMC维持3.50%-3.75%，SEP中位数显示利率和通胀仍偏高"
2026-06-18,晶圆代工成熟制程涨价,中芯国际/华虹宏力,晶圆代工/成熟制程/先进制程,"圈内称中芯7月对成熟制程新一轮涨价，Q2平均价格环比+5%-6%，Q3继续提升；华虹宏力下半年涨价约10%","AI和国产替代需求；成熟制程产能利用率改善；先进制程供给稀缺；下半年涨价落地","公司公告；定期报告；电话会；ASP；毛利率；产能利用率；客户报价；主流媒体","中芯Q1收入和Q2指引可部分验证景气改善，但具体涨价幅度未验证",高位多看图；趋势保持留,"涨价只限局部制程；客户砍单；新增产能释放；折旧压力；先进制程良率和成本压力；估值提前反映",趋势未破时跟踪量价,2026-07-31,"新建2026-06-18_晶圆代工涨价先进制程与零部件材料复盘.md；Q2-Q4看ASP和毛利率"
2026-06-18,N+3技术拆解与先进制程再定价,中芯国际/华为/先进制程设备材料链,先进制程/逻辑折叠/混合键合,"圈内引用SemiAnalysis称中芯N+3优于台积电N6，并认为韬定律和逻辑折叠会提升先进晶圆和混合键合产线需求","N+3拆解；局部金属间距32.5nm；华为秋季芯片；两片先进晶圆键合；混合键合间距缩小","SemiAnalysis原文；芯片拆解；华为发布会；中芯/华虹项目备案；设备招标；客户验证","N+3局部工艺进展可部分验证，但全面优于海外先进节点的表述需修正",提示机会；观察催化,"技术叙事过度外推；DUV多重曝光成本高；良率不透明；秋季芯片验证落空；高位拥挤",提示机会，观察事件催化,2026-10-31,"关键验证节点为2026年秋季华为手机芯片拆解和混合键合产线证据"
2026-06-23,超节点网络侧订单验证,盛科通信,25.6T/51.2T以太网Switch芯片,"圈内称字节今日下单1-2万颗25.6T芯片且昨日取得某CSP大厂框架采购协议并成为第三家大型互联网客户","字节订单；CSP框架协议；51.2T回片；7月内部测试；9-10月客户下单窗口","公司公告；客户招标；供应商名单；框架协议；封测订单；收入分项；毛利率","事件强度上升但缺少公开证据，高位需看订单和趋势共同验证",高位多看图；趋势保持留,"订单传闻失真；客户测试延期；51.2T良率不及预期；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-10-31,"新增2026-06-18至06-23批量复盘；承接5月盛科超节点台账"
2026-06-23,Rubin全液冷参考设计,鼎通科技/奕东电子/鸿富瀚/申菱环境/英维克/领益智造/恒铭达,液冷CAGE/Manifold/UQD/CDU/干冷器,"圈内称英伟达官方详解Rubin液冷技术并列出多家供应商名单，液冷从概念进入订单业绩年","NVIDIA Rubin；全液冷；光模块液冷CAGE；manifold；UQD；机柜；一次侧液冷","NVIDIA官方材料；主流媒体；公司公告；客户认证；订单；合同负债；出货；毛利率","Rubin全液冷方向可由主流媒体对官方发布报道部分验证，A股名单和订单待验证",高位多看图；趋势保持留,"供应商名单未公告；样品不等于批量；产能爬坡；毛利率不及预期；估值提前反映",趋势未破时跟踪量价,2026-08-15,"重点区分液冷方向确认和具体公司订单确认"
2026-06-23,算力租赁Q2业绩验证,利通电子/协创数据/宏景科技/智微智能/盛视科技,算力租赁/服务器到货/租金价格,"圈内称深圳渠道千台级服务器入关，利通7-8月再到货512台，协创数据和宏景科技中报利润存在上修线索","服务器入关；高端卡供给；租金回暖；Q2收入确认；中报预告","公司公告；海关或物流证据；客户合同；利用率；租金价格；财报；现金流","从预期差进入中报验证窗口，不能只看到货线索",高位多看图；趋势保持留,"卡源合规；客户合同不透明；租金回落；折旧和融资压力；高位回撤",趋势未破时跟踪量价,2026-08-31,"承接4月以来算力租赁台账，新增Q2业绩释放跟踪"
2026-06-23,国产GPU涨价窗口,寒武纪/华为昇腾链/国产GPU链,AI芯片/HBM成本/整机定价,"圈内称HBM成本涨50%驱动GPU综合成本升30-50%，寒武纪590/690和华为950报价较预期提高20-30%","HBM涨价；国产GPU重新定价；昇腾950DT；毛利率改善；国产算力需求","厂商公告；渠道报价；服务器厂订单；客户采购；毛利率；出货量；供应链调研","高时效价格线索，需验证涨价是否转化为利润而非只反映成本压力",提示机会；观察催化,"涨价压制需求；良率或交付不及预期；客户采购延期；成本上涨侵蚀利润；高估值回撤",提示机会，观察事件催化,2026-08-31,"新增国产GPU涨价验证项，与昇腾950DT节奏联动"
2026-06-23,先进制程失效分析,胜科纳米,第三方半导体分析/失效分析/材料分析,"圈内将公司定位为芯片全科医生，称其具备7nm/5nm/Chiplet/CoWoS/SiP先进封装失效分析能力且先进制程占比超过50%","先进制程良率爬坡；N+3/N+4研发；国产设备验证；苏州分析基地；第三方实验室稀缺","招股书或定期报告；客户结构；设备投入；收入分项；先进制程订单；毛利率","稀缺性逻辑清晰但短期涨幅大，需高位趋势和订单验证",高位多看图；趋势保持留,"客户保密导致验证困难；涨幅透支；订单不及预期；设备折旧压力；趋势破位",趋势未破时跟踪量价,2026-08-15,"原文称5天涨幅接近60%，必须纳入高位风险"
2026-06-23,券商科技跟投浮盈,头部券商/创投资本,科创板跟投/IPO保荐/科技股浮盈,"圈内称科创板强制跟投和科技IPO带来券商跟投浮盈，宽基ETF赎回抛压减弱，券商反弹仍未脱离科技主线","科创板IPO；长鑫长存上市链；跟投浮盈；保荐费；直投收益；宽基ETF赎回缓和","券商中报；跟投公告；IPO承销数据；ETF资金流；成交结构；直投项目公允价值","偏资金面和利润弹性推演，需中报和成交结构验证",提示机会；观察催化,"科技主线回撤；浮盈未实现；ETF继续流出；券商高beta回撤；估值提前反映",提示机会，观察事件催化,2026-08-31,"按科技主线附属弹性处理，不等同券商基本面全面反转"
2026-06-23,光刻胶断供传闻,鼎龙股份/国产光刻胶链,ArF/KrF/EUV光刻胶/半导体材料,"圈内传东京应化TOK、JSR、信越化学、富士电子材料停止接收中国ArF/EUV光刻胶新订单并撤出驻场团队","海外光刻胶限制；KrF订单压缩；国产替代；鼎龙光刻胶批量交付","海外公司公告；客户采购；中国海关；公司公告；光刻胶订单；收入分项；毛利率","未找到权威公开确认，先按高时效传闻处理",高位多看图；趋势保持留,"传闻失真；产品认证周期长；国产替代进度慢；收入占比低；估值提前反映",趋势未破时跟踪量价,2026-08-15,"不能把断供传闻直接写成鼎龙订单事实"
2026-06-23,拓荆定增与混合键合订单,拓荆科技,薄膜沉积/混合键合/半导体设备,"圈内称定增发行报告书中大基金三期获配8.5亿并称海外逻辑大厂和欧洲龙头订单推进，混合键合25年订单3亿加","大基金三期；定增；海外客户；存储扩产；混合键合；先进封装设备","定增发行报告书；公司公告；订单；合同负债；客户验证；收入分项；毛利率","定增事项需核公告，海外订单和混合键合利润弹性待验证",高位多看图；趋势保持留,"订单未公告；客户验证周期长；混合键合放量慢；市值测算激进；估值提前反映",趋势未破时跟踪量价,2026-08-31,"远期3000-4000亿市值目标不作为事实"
2026-06-23,珂玛良率与静电卡盘再强化,珂玛科技,陶瓷加热器/静电卡盘/半导体陶瓷,"圈内称国内平台化龙头批量订单落地且为主力机台型号，第二款加热器良率问题解决，2026年产能提升3倍以上","静电卡盘批量订单；加热器良率改善；存储客户放量；产能扩张；日韩供需紧张","公司公告；客户认证；订单金额；良率；产能；收入分项；合同负债；毛利率","承接6月5日和6月13日台账，新增良率改善和主力机台订单验证",高位多看图；趋势保持留,"客户未披露；良率改善口径不清；产能爬坡不及预期；利润测算激进；高位回撤",趋势未破时跟踪量价,2026-08-15,"公开布局可部分验证，批量订单和50-60亿利润测算仍待证据"
2026-06-18,钨靶材涨价与转单逻辑,江丰电子/厦门钨业/有研新材/JX/三井金属,半导体靶材/钨材料/战略矿产,"圈内称钨精矿和钨粉一年涨6-7倍、APT涨幅超550%，日本JX和三井金属开工率仅40%，日韩存储厂转单国内","钨出口管制；战略矿产；先进制程钨靶；海外供给受限；国产厂满产","商务部出口管制文件；钨精矿/APT价格；JX和三井金属公告；客户订单；靶材ASP；毛利率；收入分项","钨战略属性和管制背景可验证，涨幅、开工率和转单仍待核验",提示机会；观察催化,"原料涨价无法传导；出口许可变化；客户库存缓冲；国产产能扩张；订单传闻失真；高位回撤",提示机会，观察事件催化,2026-07-31,"承接江丰靶材台账，新增厦门钨业和有研新材材料端验证"
2026-06-28,科技缩圈与牛熊分化,科技主线/科创板/创业板/AI硬件链,市场风格/交易纪律,"原文称圈外处于4600+阴跌熊市，圈内处于700+新高牛市，核心是成交和赚钱效应缩圈到少数主线个股","科技股调整；成交缩圈；高位趋势；产业周期上行；中报验证；资金流向","指数口径；涨跌家数；成交结构；ETF资金流；两融数据；核心股5日线/10日线；中报预告；订单和财报","结构性行情延续待验证，不能直接判定全面熊市或无风险牛市",趋势破位走；止盈止损,"指数口径不明；拥挤踩踏；估值提前反映；利好脱敏；趋势破位；低位旧主线机会成本",条件式退出或利润保护,2026-07-31,"新建2026-06-28复盘；承接6月科技拥挤、暴跌应对和监管缩圈框架"
2026-06-28,半导体零部件涨价逻辑再确认,富创精密/新莱应材/珂玛科技/京仪装备/江丰电子,半导体设备零部件/材料涨价,"原文称过去半年持续强调零部件紧缺涨价逻辑，并认为扩产一年后价格仍创新高反映需求景气","零部件紧缺；扩产后价格上行；设备厂接单传导；海外交期；国产替代；中报和三季报验证","公司公告；财报；合同负债；订单；涨价函；客户认证；毛利率；海外收入；设备厂订单；行业报告","延续6月18零部件涨价台账，当前仍需从价格线索切到财务兑现",高位多看图；趋势保持留,"涨价口径不明；需求回落；扩产后供给释放；客户压价；订单低于预期；估值提前反映；高位回撤",趋势未破时跟踪量价,2026-08-15,"重点验证Q2-Q3订单、毛利率、合同负债和交期是否继续强化"
2026-07-01,上半年A股结构牛熊分化,A股全市场/行业指数/全球主要市场,市场风格/结构复盘,"原文称2026年上半年A股5530只个股中仅1760只上涨、3766只下跌，涨跌幅中位数-15.01%，30个一级行业9涨21跌，并称韩台日较强、香港和中概被虹吸","上半年收官；涨跌家数；全A中位数；行业分化；全球资金虹吸；结构牛熊","Wind/Choice/iFinD；交易所数据；中证指数；国证指数；申万或中信行业指数；港交所和主要指数数据","统计口径未给出处，先作为结构分化线索处理",趋势破位走；止盈止损,"样本口径不明；幸存者偏差；行业分类差异；指数强弱和个股体验不一致；低位板块继续钝化",条件式退出或利润保护,2026-07-15,"新建2026-07-01复盘；优先复核原文市场统计和行业口径"
2026-07-01,科技核心拥挤降温信号,半导体/光模块/先进封装/工业气体/玻璃纤维/AI应用软件,科技缩圈/交易纪律,"原文一方面强调半导体、光模块、先进封装等上半年大涨，另一方面提示7月关注中报前瞻、低位新方向和拥挤度风险","上半年涨幅领先；拥挤度；中报预告；利好脱敏；5日线/10日线；高位趋势股","成交集中度；ETF资金流；两融；核心股5日线/10日线；公司中报预告；订单和毛利率","不是主线结束判断，而是高位科技进入业绩和趋势双验证窗口",趋势破位走；止盈止损,"估值提前反映；业绩不及预期；利好脱敏；核心股破位；拥挤踩踏；低位切换失败",条件式退出或利润保护,2026-07-31,"把“降温信号”拆成拥挤缓解、趋势破位、业绩验证和纯叙事退潮四类观察"
2026-07-01,上游瓶颈资产扩散,光芯片/覆铜板/半导体设备零部件,光模块/PCB/半导体扩产上游,"原文总结光模块扩产最强在光芯片、PCB扩产最强在覆铜板、半导体扩产最强在设备零部件，继续强化上游瓶颈资产框架","光模块扩产；PCB扩产；半导体扩产；上游材料零部件；国产算力供给侧加速","公司公告；财报；订单；合同负债；产能利用率；交期；价格；客户认证；毛利率","延续5-6月上游瓶颈主线，但需用中报验证是否真正兑现到EPS",高位多看图；趋势保持留,"历史涨幅外推；扩产后供给释放；客户压价；现货价格不等于终端ASP；高位回撤",趋势未破时跟踪量价,2026-08-15,"按板块线索跟踪，不因原文未列具体公司而新增单一标的结论"
2026-07-01,7月中报业绩前瞻验证,半导体设备材料/光通信/PCB/液冷/测试设备/算力租赁,中报预告/业绩兑现,"原文明确提到7月中报业绩前瞻和下半年低位新方向，说明科技主线从逻辑交易进入财务兑现阶段","中报业绩预告；订单确认；合同负债；发出商品；毛利率；价格传导；库存和现金流","公司公告；半年度业绩预告；财报；投资者关系记录；客户订单；行业价格；库存和现金流","7月核心验证窗口，决定高位主线是继续缩圈抱团还是阶段性降温",趋势破位走；止盈止损,"业绩预告缺席或低于预期；增收不增利；毛利率下滑；库存累积；趋势破位",条件式退出或利润保护,2026-08-31,"与6月抱团缩圈和AI硬件EPS验证台账合并观察"
2026-07-01,量化环境下的交易纪律,散户交易/机构量化/科技主线高位股,交易方法论/风控,"原文强调散户与机构量化在反应速度和信息处理上不对称，建议避免沉迷短线博弈，转向产业趋势和证据网络跟踪","量化交易；行为模式；短线博弈；证据网络；趋势纪律；分仓和止盈","历史交易记录；成交结构；量价；复盘台账；公告验证；5日线/10日线","方法论线索，不作为市场事实；用于强化高位趋势股风控",趋势破位走；止盈止损,"用圈层叙事替代独立验证；追涨杀跌；破位不止损；全仓单吊；情绪化补仓",条件式退出或利润保护,2026-07-31,"承接交易手册：不和高频拼反应，重点做证据网络和风险纪律"
2026-07-01,神工股份存储硅零部件更新,神工股份,硅材料/硅零部件/存储刻蚀耗材,"圈内称公司硅材料800吨产能、全球份额约15%、Q2满产，硅零部件绑定设备龙一并受益国内存储扩产，26-28年利润测算3.27/6.29/10亿元","海外存储扩产；国内存储扩产；硅材料稼动率提升；硅零部件产能释放；8英寸硅片替代","年报；半年报；产能利用率；客户认证；订单；收入分项；定增项目进度；毛利率","承接6月13日存储耗材台账，本批新增稼动率和远期利润测算，需财报验证",低位多看逻辑,"客户未披露；利润测算激进；产能爬坡不及预期；存储CAPEX波动；估值提前反映；高位回撤",低位关注产业逻辑和基本面,2026-08-31,"新建2026-06-26至07-01批量复盘；重点看2026H1/H2收入和毛利率"
2026-07-01,CPO全流程检测设备线索,茂莱光学,CPO/NPO检测/半导体光学/光通信检测,"圈内称茂莱CPO全流程检测设备精准卡位CPO量产痛点，市场此前毫无预期","CPO规模化商用；封装集成挑战；专用测试设备缺口；半导体光学订单；光通信第二曲线","公司公告；投资者关系记录；产品手册；客户验证；订单；收入分项；毛利率","延续茂莱半导体光学和3DIC检测线索，新增CPO检测产品验证项",高位多看图；趋势保持留,"产品定义不清；客户未披露；CPO量产延期；收入体量小；估值提前反映；趋势破位",趋势未破时跟踪量价,2026-08-31,"需区分半导体检测光学已有订单和CPO检测新增订单"
2026-07-01,华丰科技A5线模组与NPO更新,华丰科技,昇腾链高速线模组/Socket/NPO光模块,"圈内称A5线模组6月开始大规模交付且订单环比增长十倍，A5产能Q3大幅提升，字节需求启动预研，NPO已切入华为供应链","昇腾950配套；A5平台；字节线模组需求；CPU/NPO Socket；6.4T硅光NPO","公司公告；投资者关系记录；客户认证；订单；产能；收入分项；产品规格","对6月13日昇腾950份额辨析形成正向增量，但份额和客户仍需验证",高位多看图；趋势保持留,"份额表述失真；客户未披露；产能切换不及预期；订单无法转收入；高位回撤",趋势未破时跟踪量价,2026-08-31,"重点验证A5线模组收入、Socket/NPO送样和Q3产能"
2026-07-21,科技去杠杆与科创50ETF承接,科技主线/科创50/宽基ETF/两融,市场流动性/交易纪律,"营业部调研与图片称融资客户继续主动降杠杆，科创50ETF出现大额流入，作者认为承接重心应向科技核心倾斜","两融余额；维持担保比例；科创50ETF申赎；险资权益配置；核心科技股5日线和10日线；中报","交易所两融数据；基金公司份额和申赎数据；保险资金公告；核心股量价；公司中报预告","资金承接可缓冲短期流动性，但去杠杆未完成前先按区间修复观察",趋势破位走；止盈止损,"ETF单日流入不可持续；融资平仓扩大；核心股继续破位；中报不及预期；外部风险偏好走弱",条件式退出或利润保护,2026-07-31,"承接7月15日至20日科技去杠杆框架，重点核对单日流入能否转为连续承接"
2026-07-21,华虹成熟制程涨价与无锡扩产,华虹公司/华虹集团/无锡9A和9B,晶圆代工/成熟制程/先进制程扩产,"专家交流称8和12英寸产线订单排至年底，无锡9A扩产及9B向22/28nm倾斜，全年代工价格存在连续上调预期","产能利用率；无锡9A和9B扩产；Mini Line通线；成熟制程ASP；设备招标；半导体周期","公司公告；财报和业绩会；项目备案环评；招投标；设备采购；产能利用率；ASP和毛利率；客户订单","供需与扩产逻辑强化，但产能、价格、客户和利润传导仍需公开材料确认",提示机会；观察催化,"扩产延期；订单低于预期；涨价无法传导；产品结构未改善；毛利率承压；资产注入预期落空；高位回撤",提示机会，观察事件催化,2026-08-15,"承接3月和6月华虹先进制程台账；本次聚焦成熟制程价格和无锡项目进度"
2026-07-21,智谱模型迭代与训练算力,智谱/GLM/国产模型/国产算力链,模型服务/训练算力/AI基础设施,"图片称智谱ARR约为DeepSeek与Kimi合计两倍，GLM新模型与训练算力投入正在推进","GLM5.3发布；新基座和Fable级模型；融资；训练算力；API调用；模型服务收入","智谱官方发布；融资文件；产品和价格页；独立基准测试；云厂或算力采购；调用量；收入和成本披露","模型竞争与算力需求线索增强，但商业化和训练算力口径尚待验证",低位多看逻辑,"模型发布延期；性能或采用不及预期；训练算力未落实；API降价快于调用增长；商业化压力",低位关注产业逻辑和基本面,2026-08-31,"承接智谱AutoClaw台账，新增模型迭代、融资与训练算力验证"
2026-07-01,意华股份高速线模组与液冷CAGE,意华股份,高速线模组/液冷CAGE/光模块连接器,"圈内称公司定位华为线模组Tier1，8月正式出货，非华为客户CAGE需求提速，1.6T/3.2T液冷方案成为刚需，27年利润测算9/13亿元","华为高速线模组；非华为CAGE订单；1.6T光模块；液冷CAGE；份额提升","公司公告；投资者关系记录；客户订单；出货；产品单价；份额；毛利率","延续液冷CAGE和昇腾链台账，新增高速线模组出货时间与非华为客户增量",高位多看图；趋势保持留,"客户和份额未公告；利润测算激进；液冷CAGE导入慢；竞争加剧；高位回撤",趋势未破时跟踪量价,2026-08-31,"8月出货和中报/三季报收入确认是关键验证"
2026-07-01,飞荣达华为链散热更新,飞荣达,手机散热/服务器液冷/热管理,"圈内称韬定律将提升华为手机与GPU性能，手机单机散热价值量10倍增长且公司份额或超50%，昇腾950液冷启动招标","华为手机散热升级；昇腾950液冷；GPU热管理；招标；明年利润弹性","公司公告；投资者关系记录；客户认证；招标；订单；收入分项；毛利率","新增华为链热管理线索，需拆分消费电子和服务器液冷验证",提示机会；观察催化,"份额未披露；单机价值量测算不明；招标落地不确定；手机链波动；毛利率不兑现",提示机会，观察事件催化,2026-08-31,"重点看昇腾液冷招标和华为手机散热收入是否进入财报"
